Timestamp,Sync,Aux,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
109929.000000,255.000000,255.000000,-1.216287,5.706204,843.525513,-15.282135,2.138536,0.181647,-0.002535,-0.018117
109930.000000,255.000000,255.000000,-1.216158,5.706002,843.145203,-15.375694,2.232332,0.181661,-0.002648,-0.018236
109931.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109932.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109933.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109934.000000,255.000000,255.000000,-1.215970,5.706254,842.771240,-15.095834,2.137718,0.181362,-0.002537,-0.017912
109935.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109936.000000,255.000000,255.000000,-1.215970,5.706254,842.771240,-15.095834,2.137718,0.181362,-0.002537,-0.017912
109937.000000,255.000000,255.000000,-1.215970,5.706254,842.771240,-15.095834,2.137718,0.181362,-0.002537,-0.017912
109938.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109939.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109940.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109941.000000,255.000000,255.000000,-1.215970,5.706254,842.771240,-15.095834,2.137718,0.181362,-0.002537,-0.017912
109942.000000,255.000000,255.000000,-0.994237,5.703976,842.402222,-15.189530,2.252793,0.126696,-0.002674,-0.018031
109943.000000,255.000000,255.000000,-1.221492,5.483578,842.407410,-15.168466,2.231659,0.236857,-0.002649,-0.018006
109944.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109945.000000,255.000000,255.000000,-1.215840,5.706051,842.390930,-15.189393,2.231514,0.181376,-0.002649,-0.018031
109946.000000,255.000000,255.000000,-1.219812,5.484425,842.030579,-15.261842,2.137367,0.236361,-0.002538,-0.018125
109947.000000,255.000000,255.000000,-1.219812,5.484425,842.030579,-15.261842,2.137367,0.236361,-0.002538,-0.018125
109948.000000,255.000000,255.000000,-1.213115,5.707242,841.634888,-15.189450,2.043807,0.180894,-0.002428,-0.018048
109949.000000,255.000000,255.000000,-1.213994,5.484210,841.624390,-15.166944,2.044600,0.126171,-0.002429,-0.018021
109950.000000,255.000000,255.000000,-1.219812,5.484425,842.030579,-15.261842,2.137367,0.236361,-0.002538,-0.018125
109951.000000,255.000000,255.000000,-1.219645,5.261737,841.640869,-15.146024,2.044753,0.181652,-0.002429,-0.017996
109952.000000,255.000000,255.000000,-1.219645,5.261737,841.640869,-15.146024,2.044753,0.181652,-0.002429,-0.017996
109953.000000,255.000000,255.000000,-1.213994,5.484210,841.624390,-15.166944,2.044600,0.126171,-0.002429,-0.018021
109954.000000,255.000000,255.000000,-1.219645,5.261737,841.640869,-15.146024,2.044753,0.181652,-0.002429,-0.017996
109955.000000,255.000000,255.000000,-1.217966,5.262585,841.264038,-15.239400,1.950461,0.181157,-0.002318,-0.018115
109956.000000,255.000000,255.000000,-1.219645,5.261737,841.640869,-15.146024,2.044753,0.181652,-0.002429,-0.017996
109957.000000,255.000000,255.000000,-1.219645,5.261737,841.640869,-15.146024,2.044753,0.181652,-0.002429,-0.017996
109958.000000,255.000000,255.000000,-0.997163,5.482709,841.662720,-15.168668,2.065238,0.181695,-0.002454,-0.018022
109959.000000,255.000000,255.000000,-1.217966,5.262585,841.264038,-15.239400,1.950461,0.181157,-0.002318,-0.018115
109960.000000,255.000000,255.000000,-1.216920,5.262928,840.884766,-15.146081,1.857046,0.181171,-0.002208,-0.018012
109961.000000,255.000000,255.000000,-1.211269,5.485401,840.868286,-15.167001,1.856893,0.125690,-0.002208,-0.018037
109962.000000,255.000000,255.000000,-0.995317,5.260868,840.896118,-15.146218,1.878332,0.126491,-0.002234,-0.018012
109963.000000,255.000000,255.000000,-0.995317,5.260868,840.896118,-15.146218,1.878332,0.126491,-0.002234,-0.018012
109964.000000,255.000000,255.000000,-1.216920,5.262928,840.884766,-15.146081,1.857046,0.181171,-0.002208,-0.018012
109965.000000,255.000000,255.000000,-1.216120,5.040743,840.497498,-15.216943,1.763555,0.125952,-0.002098,-0.018105
109966.000000,255.000000,255.000000,-0.994271,5.261212,840.516907,-15.052900,1.784916,0.126504,-0.002124,-0.017909
109967.000000,255.000000,255.000000,-0.993637,5.261715,840.519287,-15.239587,1.784040,0.125995,-0.002123,-0.018131
109968.000000,255.000000,255.000000,-0.993637,5.261715,840.519287,-15.239587,1.784040,0.125995,-0.002123,-0.018131
109969.000000,255.000000,255.000000,-1.215241,5.263775,840.507996,-15.239450,1.762754,0.180675,-0.002097,-0.018131
109970.000000,255.000000,255.000000,-0.993637,5.261715,840.519287,-15.239587,1.784040,0.125995,-0.002123,-0.018131
109971.000000,255.000000,255.000000,-0.992592,5.262059,840.140076,-15.146269,1.690625,0.126009,-0.002012,-0.018028
109972.000000,255.000000,255.000000,-0.992592,5.262059,840.140076,-15.146269,1.690625,0.126009,-0.002012,-0.018028
109973.000000,255.000000,255.000000,-0.991958,5.262563,840.142517,-15.332963,1.689749,0.125500,-0.002011,-0.018250
109974.000000,255.000000,255.000000,-0.992592,5.262059,840.140076,-15.146269,1.690625,0.126009,-0.002012,-0.018028
109975.000000,255.000000,255.000000,-0.992462,5.261856,839.759766,-15.239828,1.784413,0.126023,-0.002125,-0.018148
109976.000000,255.000000,255.000000,-0.990912,5.262907,839.763306,-15.239645,1.596333,0.125514,-0.001901,-0.018148
109977.000000,255.000000,255.000000,-0.991641,5.262612,839.388306,-15.146662,1.688923,0.125215,-0.002012,-0.018045
109978.000000,255.000000,255.000000,-0.993320,5.261765,839.765137,-15.053286,1.783215,0.125710,-0.002123,-0.017926
109979.000000,255.000000,255.000000,-0.993190,5.261562,839.384827,-15.146845,1.877011,0.125724,-0.002236,-0.018045
109980.000000,255.000000,255.000000,-0.989867,5.263250,839.384033,-15.146326,1.502918,0.125527,-0.001791,-0.018045
109981.000000,255.000000,255.000000,-0.989867,5.263250,839.384033,-15.146326,1.502918,0.125527,-0.001791,-0.018045
109982.000000,255.000000,255.000000,-0.990746,5.040218,839.373535,-15.123827,1.503711,0.070804,-0.001791,-0.018018
109983.000000,255.000000,255.000000,-0.989867,5.263250,839.384033,-15.146326,1.502918,0.125527,-0.001791,-0.018045
109984.000000,255.000000,255.000000,-1.212349,5.042278,839.362183,-15.123682,1.482433,0.125484,-0.001766,-0.018018
109985.000000,255.000000,255.000000,-0.768097,5.260427,839.371765,-15.145464,1.525020,0.180841,-0.001817,-0.018044
109986.000000,255.000000,255.000000,-0.768097,5.260427,839.371765,-15.145464,1.525020,0.180841,-0.001817,-0.018044
109987.000000,255.000000,255.000000,-1.210670,5.043126,838.985413,-15.217058,1.388141,0.124989,-0.001655,-0.018137
109988.000000,255.000000,255.000000,-0.988899,5.040318,838.973145,-15.216196,1.410243,0.180302,-0.001681,-0.018137
109989.000000,255.000000,255.000000,-0.990746,5.040218,839.373535,-15.123827,1.503711,0.070804,-0.001791,-0.018018
109990.000000,255.000000,255.000000,-0.989066,5.041066,838.996704,-15.217203,1.409419,0.070309,-0.001680,-0.018137
109991.000000,255.000000,255.000000,-1.209791,5.266158,838.995911,-15.239565,1.387340,0.179712,-0.001654,-0.018164
109992.000000,255.000000,255.000000,-0.993839,5.041625,839.023682,-15.218782,1.408771,0.180513,-0.001679,-0.018139
109993.000000,255.000000,255.000000,-0.994717,4.818593,839.013184,-15.196276,1.409572,0.125790,-0.001680,-0.018112
109994.000000,255.000000,255.000000,-0.989066,5.041066,838.996704,-15.217203,1.409419,0.070309,-0.001680,-0.018137
109995.000000,255.000000,255.000000,-0.767296,5.038243,838.984497,-15.216341,1.431522,0.125622,-0.001706,-0.018137
109996.000000,255.000000,255.000000,-0.994717,4.818593,839.013184,-15.196276,1.409572,0.125790,-0.001680,-0.018112
109997.000000,255.000000,255.000000,-0.988021,5.041409,838.617432,-15.123884,1.316004,0.070323,-0.001569,-0.018034
109998.000000,255.000000,255.000000,-0.771902,4.816113,838.621704,-15.102095,1.338259,0.181117,-0.001596,-0.018008
109999.000000,255.000000,255.000000,-0.772947,4.815770,839.000977,-15.195414,1.431674,0.181103,-0.001706,-0.018111
110000.000000,255.000000,255.000000,-0.993505,4.818189,838.610413,-15.101957,1.316973,0.235797,-0.001570,-0.018008
110001.000000,255.000000,255.000000,-0.993505,4.818189,838.610413,-15.101957,1.316973,0.235797,-0.001570,-0.018008
110002.000000,255.000000,255.000000,-0.991825,4.819036,838.233582,-15.195333,1.222681,0.235301,-0.001459,-0.018128
110003.000000,255.000000,255.000000,-0.992721,4.819489,837.882141,-15.103350,1.314455,0.125009,-0.001569,-0.018026
110004.000000,255.000000,255.000000,-0.770222,4.816961,838.244934,-15.195471,1.243967,0.180621,-0.001484,-0.018128
110005.000000,255.000000,255.000000,-0.770222,4.816961,838.244934,-15.195471,1.243967,0.180621,-0.001484,-0.018128
110006.000000,255.000000,255.000000,-0.770222,4.816961,838.244934,-15.195471,1.243967,0.180621,-0.001484,-0.018128
110007.000000,255.000000,255.000000,-0.770222,4.816961,838.244934,-15.195471,1.243967,0.180621,-0.001484,-0.018128
110008.000000,255.000000,255.000000,-0.770222,4.816961,838.244934,-15.195471,1.243967,0.180621,-0.001484,-0.018128
